sample_date,location,latitude,longitude,sample_depth_m,karenia_brevis_cells_per_liter,abundance_category
2018-06-04,Eagle Harbor; SE of (St. Joseph Bay),29.7588,-85.3847,0.5,0.0,Not present/background
2018-06-04,Mid-St. Joseph Bay,29.7848,-85.347,0.5,0.0,Not present/background
2018-06-04,Patton Bayou; W of (St. Joseph Bay),29.7987,-85.3045,0.5,667.0,Not present/background
2018-06-04,St. Joseph Point; 2.1 mi S of (St. Joseph Bay),29.84867,-85.398,0.5,667.0,Not present/background
2018-06-04,Bald Point; 1.2 mi NE of,29.958167,-84.323667,0.5,0.0,Not present/background
2018-06-04,Robertson Island; NE of (Pensacola Bay),30.33432,-87.31618,0.5,0.0,Not present/background
2018-06-04,White Point; 1.6 mi SE of (East Bay),30.427472,-87.05425,0.5,0.0,Not present/background
2018-06-05,Bonita Beach Park,26.33105,-81.84574,0.5,0.0,Not present/background
2018-06-05,Lovers Key State Park,26.3901,-81.8795,0.5,0.0,Not present/background
2018-06-05,Tarpon Bay Road Beach,26.4217,-82.0801,0.5,0.0,Not present/background
2018-06-05,Lighthouse Beach,26.45157,-82.01543,0.5,0.0,Not present/background
2018-06-05,Lynn Hall Park,26.45398,-81.95776,0.5,0.0,Not present/background
2018-06-05,Alison Hagerup Beach Park,26.5264,-82.1945,0.5,0.0,Not present/background
2018-06-05,Bay Dock (Sarasota Bay),27.3316,-82.5779,0.5,33000.0,Low
2018-06-05,New Pass Dock (Sarasota Bay),27.33375,-82.57938,0.5,28000.0,Low
2018-06-05,Mead Point (Lower Tampa Bay),27.51477,-82.68395,0.2,333.0,Not present/background
2018-06-05,School Key; NE of (Lower Tampa Bay),27.529833,-82.704,0.2,16333.0,Low
2018-06-05,South Skyway Rest Area; NW of (Lower Tampa Bay),27.587433,-82.61895,0.2,0.0,Not present/background
2018-06-05,South Skyway Causeway; NE end of (Lower Tampa Bay),27.59275,-82.629067,0.2,0.0,Not present/background
2018-06-05,Joe Island; N of (Lower Tampa Bay),27.595514,-82.5912,0.2,0.0,Not present/background
2018-06-05,Little Redfish Creek; 1.1 mi NW of (Lower Tampa Bay),27.632617,-82.5782,0.2,0.0,Not present/background
2018-06-05,Johns Pass (Boca Ciega Bay),27.7824,-82.78193,0.5,0.0,Not present/background
2018-06-05,Indian Rocks Beach,27.895115,-82.850448,0.5,0.0,Not present/background
2018-06-05,Beach Woods Pier (Indian River),28.02968,-80.54599,0.5,0.0,Not present/background
2018-06-05,Honeymoon Island State Park; North Beach,28.0633,-82.8325,0.5,0.0,Not present/background
2018-06-05,Black Point; W of,29.1798,-83.0691,0.5,0.0,Not present/background
2018-06-05,McClamory Key; SW of,29.1803,-83.0851,0.5,0.0,Not present/background
2018-06-05,Bird Island; 7.4 mi W of,29.583333,-83.531667,0.5,0.0,Not present/background
2018-06-05,Bird Island; 2.5 mi SW of,29.5928,-83.4471,0.5,0.0,Not present/background
2018-06-05,Sikes Cut; SE of,29.606683,-84.94665,0.5,0.0,Not present/background
2018-06-05,West Pass; NE of (Apalachicola Bay),29.637983,-85.089017,0.5,0.0,Not present/background
2018-06-05,Mid-Apalachicola Bay,29.667683,-84.994017,0.5,0.0,Not present/background
2018-06-05,St. Vincent Point; E of (Apalachicola Bay),29.674667,-85.058333,0.5,0.0,Not present/background
2018-06-05,Neptune Street; N of (Indian Lagoon),29.683,-85.237667,0.5,0.0,Not present/background
2018-06-05,Old St. George Island Causeway; E of (St. George Sound),29.702133,-84.880183,1.5,0.0,Not present/background
2018-06-05,Pig Island; 0.7 mi E of (St. Joseph Bay),29.70403,-85.35882,0.5,0.0,Not present/background
2018-06-05,Blacks Island; SE of (St. Joseph Bay),29.71837,-85.32308,0.5,0.0,Not present/background
2018-06-05,Long Point; S of (East Bay),29.7308,-84.945183,0.5,0.0,Not present/background
2018-06-05,Eagle Harbor; SE of (St. Joseph Bay),29.7588,-85.3847,0.5,0.0,Not present/background
2018-06-05,Mid-St. Joseph Bay,29.7848,-85.347,0.5,0.0,Not present/background
2018-06-05,Patton Bayou; W of (St. Joseph Bay),29.7987,-85.3045,0.5,0.0,Not present/background
2018-06-05,St. Marks Lighthouse; 2.4 mi S of (Apalachee Bay),30.0367,-84.1667,0.5,0.0,Not present/background
2018-06-05,St. Marks Lighthouse; 2.4 mi S of (Apalachee Bay),30.0367,-84.1667,3.6,0.0,Not present/background
2018-06-05,Tyndall AFB; W of (St. Andrew Bay),30.0768,-85.6222,0.5,0.0,Not present/background
2018-06-05,Spanish Ante; E of (St. Andrew Bay),30.09017,-85.66658,0.5,667.0,Not present/background
2018-06-05,Davis Point; SE of (St. Andrew Bay),30.11367,-85.682,0.5,1000.0,Not present/background
2018-06-05,Laird Point; SW of (East Bay),30.11833,-85.535,0.5,0.0,Not present/background
2018-06-05,Ferry Point; S of (East Bay),30.12167,-85.6192,0.5,0.0,Not present/background
2018-06-05,Redfish Point; SW of (St. Andrew Bay),30.136333,-85.67683,0.5,0.0,Not present/background
2018-06-05,Delwood Beach (St. Andrew Bay),30.1415,-85.7125,0.5,333.0,Not present/background
2018-06-05,Harrison Bayou; NE of (West Bay),30.23333,-85.75667,0.5,0.0,Not present/background
2018-06-06,Lower Arsnicker Keys; 7.2 mi W of,24.9159,-80.943,0.2,0.0,Not present/background
2018-06-06,Upper Arsnicker Keys; 8.5 mi NW of,24.93815,-80.9653,0.2,0.0,Not present/background
2018-06-06,Sandy Key; 5.2 mi SW of,24.96038,-80.98737,0.2,0.0,Not present/background
2018-06-06,Sandy Key; 3.4 mi S of,24.98417,-81.0118,0.2,0.0,Not present/background
2018-06-06,Cape Romano; S of (Gullivan Bay),25.844,-81.678,0.2,0.0,Not present/background
2018-06-06,Round Key; N of (Fakahatchee Pass),25.851667,-81.524667,0.2,0.0,Not present/background
2018-06-06,Coon Key; S of (Gullivan Bay),25.8815,-81.632167,0.2,0.0,Not present/background
2018-06-06,Shell Key; S of (Gullivan Bay),25.891667,-81.608833,0.2,0.0,Not present/background
2018-06-06,Bonita Beach (Estero Bay),26.35497,-81.84452,0.4,0.0,Not present/background
2018-06-06,Long Key (Estero Bay),26.38591,-81.84631,0.5,0.0,Not present/background
2018-06-06,Estero Island (Estero Bay),26.43494,-81.91138,0.5,0.0,Not present/background
2018-06-06,Boca Grande Pier (Gasparilla Sound),26.80562,-82.27415,0.5,28333.0,Low
2018-06-06,Juno Beach Fishing Pier,26.893715,-80.0542,0.5,0.0,Not present/background
2018-06-06,Englewood Beach,26.92467,-82.36189,0.5,84667.0,Low
2018-06-06,Indian Mound Park; S of (Lemon Bay),26.94828,-82.36156,0.5,1000.0,Not present/background
2018-06-06,Leachs Key; N of (Lemon Bay),26.98373,-82.39391,0.5,0.0,Not present/background
2018-06-06,Forked Creek; NW of (Lemon Bay),27.00523,-82.40652,0.5,3000.0,Very low
